#NOM      X(m)        Y(m)         Z(m)
THUB   538110.3893 -1389031.3917  6180994.5653
YELA -1224424.3242 -2689227.5095  5633645.2453
SPIB  1202793.8257   254163.1746  6237609.6886
GOLA -2356504.1397 -4646583.8879  3668453.1400
GR3B  4581680.3963   556166.3921  4389371.5431
KITA  1945024.2935  4556708.9596  4004235.8987
KOLB -5543981.4044 -2054583.8331  2387481.1288
DJIB  4583132.7823  4250944.1625  1266229.2105
BETB -6327823.1646   785599.9466   149786.6036
RIKB -4147137.7716 -4152219.1667 -2490023.8778
HBMB  5084653.4375  2670347.4993 -2768470.8117
NOUA -5739994.0163  1387548.1415 -2402084.6857
ROTA   909378.4185 -2264934.5973 -5872956.8523
SYOB  1766498.9760  1460274.3835 -5932211.7517
ADEB -1940878.3721  1628472.8858 -5833723.0773
